_id,service_name,sequence,name_mm,road_mm,the_geom
612,8,52,(၃) ဈေး,မြင်တော်သာလမ်း,0101000020E6100000A4E2FF8EA80C5840853FC39B35C83040
613,8,53,ခင်မမကြား,မြင်တော်သာလမ်း,0101000020E6100000CC441152B70C58402C7E5358A9C83040
614,8,54,ဆီဆိုင်,မြင်တော်သာလမ်း,0101000020E61000000A4D124BCA0C5840D3307C444CC93040
615,8,55,စာတိုက်,မြင်တော်သာလမ်း,0101000020E610000023658BA4DD0C5840083C3080F0C93040
616,8,56,နယ်မြေရုံး,မြင်တော်သာလမ်း,0101000020E610000057276728EE0C58401C075E2D77CA3040
617,8,57,ရုပ်ရှင်ရုံ,မြင်တော်သာလမ်း,0101000020E610000067614F3BFC0C5840A14B38F416CB3040
618,8,58,ကျန်းမာရေး,မြင်တော်သာလမ်း,0101000020E6100000B72572C1190D5840105B7A34D5CB3040
619,8,59,(၇) ဈေး,မြင်တော်သာလမ်း,0101000020E6100000F4F928232E0D58401616DC0F78CC3040
620,8,60,ဘုရားရှေ့,မြင်တော်သာလမ်း,0101000020E610000007EA9447370D58403F389F3A56CD3040
621,8,61,ကျောင်းကွေ့,မြင်တော်သာလမ်း,0101000020E610000006685BCD3A0D58407782FDD7B9CD3040
622,8,62,မြေနီ,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000AD4CF8A57E0D584005DB8827BBCD3040
623,8,63,သာကေတအဝိုင်း,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000C30E63D2DF0D5840C0CE4D9B71CE3040
624,8,64,အဝိုင်း,ရှူ့ခင်းသာလမ်း,0101000020E6100000BD8BF7E3F60D58406DC5FEB27BCE3040
625,8,65,အဝိုင်း,ရှူ့ခင်းသာလမ်း,0101000020E6100000C0417BF5F10D58403E75AC527ACE3040
626,8,66,(၁၀) ဈေး,ဧရာဝဏ်လမ်းမကြီး,0101000020E610000022A81ABD1A0E584063B83A00E2CE3040
627,8,67,(၃၄) ကားကြီးဂိတ်,ဧရာဝဏ်လမ်းမကြီး,0101000020E610000082583673480E5840770FD07D39CF3040
628,8,68,ဘုရားလေး,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000C1E10511A90E584062F5471806D03040
629,8,69,သံလမ်း,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000CD0358E4D70E5840C02154A9D9CF3040
630,8,70,သစ်ဆိတ်,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000E7C6F484250F58401DAF40F4A4D03040
631,8,71,အလိုတော်ပြည့်,ဧရာဝဏ်လမ်းမကြီး,0101000020E610000021CB82893F0F5840C91CCBBBEAD13040
632,8,72,ဆောက်လုပ်ရေး,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000FA7B293C680F58406D6FB72407D43040
633,8,73,(၆၅) ရပ်ကွက်,ဧရာဝဏ်လမ်းမကြီး,0101000020E610000089450C3B8C0F58401CCF6740BDD53040
634,8,74,သိမ်ကျောင်း,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000A3772AE09E0F5840B4E55C8AABD63040
635,9,1,အလိုတော်ပြည့်,ဧရာဝဏ်လမ်းမကြီး,0101000020E61000000C59DDEA390F58407FF78E1A13D23040
636,9,2,သစ်ဆိတ်,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000D23AAA9A200F5840C72C7B12D8D03040
637,9,3,သံလမ်း,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000EDBB22F8DF0E5840A1BDFA78E8CF3040
638,9,4,ဘုရားလေး,ဧရာဝဏ်လမ်းမကြီး,0101000020E610000062F3716DA80E58409AEFE0270ED03040
639,9,5,(၃၄) ကားကြီးဂိတ်,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000BF2CEDD45C0E5840ACCABE2B82CF3040
640,9,6,(၁၀) ဈေး,ဧရာဝဏ်လမ်းမကြီး,0101000020E61000001762F547180E58404354E1CFF0CE3040
641,9,7,သာကေတအဝိုင်း,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000D593F947DF0D5840C423F1F274CE3040
642,9,8,(၈) ဂိတ်,ဧရာဝဏ်လမ်းမကြီး,0101000020E610000018778368AD0D5840C3D32B6519CE3040
643,9,9,မြေနီ,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000978C63247B0D584015C78157CBCD3040
644,9,10,ကျောင်းကွေ့/ထူပါရုံ,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000F4F928232E0D584060C8EA56CFCD3040
645,9,11,အနော်မာ,ဧရာဝဏ်လမ်းမကြီး,0101000020E6100000938D075BEC0C5840FA9AE5B2D1CD3040
646,10,20,ကျောက်တိုင်,မင်းနန္ဒာလမ်း,0101000020E610000029064834810C58400EF96706F1CD3040
647,10,21,သုဝဏ္ဏလမ်းဆုံ,ဝေဇယန္တာလမ်း,0101000020E61000008BDF14562A0C58407C2B1213D4D03040
